,index,Park,Recreational Visits,Number of Activities
0,1,Great Smoky Mountains National Park,12.1 million,36
1,2,Yellowstone National Park,"3,8 million",53
2,3,Zion National Park,3.6 million,22
3,4,Rocky Mountain National Park,3.3 million,34
4,5,Grand Teton National Park,3.3 million,53
5,6,Grand Canyon National Park,2.9 million,33
6,7,Cuyahoga Valley National Park,2.8 million,31
7,8,Acadia National Park,2.7 million,46
8,9,Olympic National Park,2.5 million,54
9,10,Joshua Tree National Park,2.4 million,27
